SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
0,64kB,4,2,8,3,20,0,0.004118,904026.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
1,64kB,2,4,8,5,20,8,0.032891,1019394.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
2,128kB,2,2,8,3,20,8,0.01979,1043646.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
3,128kB,4,4,16,5,30,0,0.006804,909590.0,4081647.0,9.159582,0.109175,0.002395,184677.079545,0.000936,182399.526224,0.987167,166518.297
4,128kB,2,4,16,3,20,0,0.004117,803210.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
5,128kB,2,2,16,3,20,8,0.01979,934593.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
6,64kB,2,2,8,3,20,8,0.01979,1014969.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
7,128kB,8,4,8,3,30,0,0.004151,889825.0,2489896.0,5.58755,0.178969,0.002395,180418.652273,0.000936,175116.601399,0.987167,167226.772
8,64kB,4,4,8,3,20,0,0.004117,936266.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
9,64kB,8,4,8,5,20,0,0.006771,832826.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
10,128kB,2,2,16,5,30,8,0.032926,1005643.0,19751723.0,8.912943,0.112196,0.000533,186503.202273,0.000188,181785.921098,0.980469,167736.063745
11,128kB,8,4,8,3,30,8,0.019823,1031528.0,11891605.0,5.366073,0.186356,0.000533,180058.731818,0.000186,175694.854167,0.987217,167385.728088
12,128kB,2,4,8,3,30,8,0.019823,1045328.0,11891605.0,5.366073,0.186356,0.000533,180058.731818,0.000186,175694.854167,0.987217,167385.728088
13,128kB,8,4,8,3,20,8,0.01979,1030070.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
14,64kB,8,4,8,3,20,0,0.004117,900498.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
15,128kB,2,2,16,3,20,4,0.013807,993621.0,8282363.0,5.428801,0.184203,0.000754,146237.575,0.000271,142198.245283,0.980469,134195.160359
16,64kB,8,4,16,3,20,4,0.013806,1017243.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
17,128kB,4,4,16,3,20,4,0.013806,1004320.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
18,128kB,2,4,16,5,30,8,0.032925,1010243.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
19,64kB,2,2,16,5,30,8,0.032926,985794.0,19751723.0,8.912943,0.112196,0.000533,186503.202273,0.000188,181785.921098,0.980469,167736.063745
