,Branch Predictor,Freq,BlockSize,simSeconds,hostInstRate,board.processor.cores.core.branchPred.lookups,board.processor.cores.core.branchPred.condPredicted,board.processor.cores.core.branchPred.BTBHitRatio,board.processor.cores.core.commit.branchMispredicts
0,B,800MHz,0,0.002992,159764.0,22482.0,20547.0,0.979154,1597.0
1,T,2.0GHz,8,0.008817,166279.0,51642.0,45760.0,0.980942,650.0
2,L,800MHz,0,0.002966,166546.0,22540.0,20647.0,0.976793,1223.0
3,T,1.8GHz,0,0.002574,140144.0,22343.0,20520.0,0.957966,1274.0
4,B,1.2GHz,0,0.002763,149493.0,22457.0,20535.0,0.97945,1587.0
5,T,1.8GHz,2,0.006537,155261.0,69423.0,52498.0,0.983486,823.0
6,T,1.2GHz,0,0.002754,155224.0,22348.0,20525.0,0.958116,1255.0
7,L,2.4GHz,4,0.007077,146299.0,50460.0,40210.0,0.990343,7877.0
8,T,600MHz,2,0.008213,188973.0,69493.0,52530.0,0.983285,787.0
9,B,600MHz,8,0.011277,217248.0,52719.0,46107.0,0.991027,1668.0
10,T,1.8GHz,8,0.008914,172922.0,51647.0,45765.0,0.980857,645.0
11,L,2.4GHz,2,0.008083,125219.0,75952.0,52439.0,0.993718,16182.0
12,B,2.0GHz,2,0.006763,133000.0,74055.0,54848.0,0.992714,3409.0
13,L,1.2GHz,0,0.002751,151348.0,22546.0,20658.0,0.97665,1232.0
14,L,1.4GHz,8,0.009804,175497.0,52418.0,45895.0,0.99062,5299.0
15,T,600MHz,8,0.011161,218450.0,51690.0,45785.0,0.980638,610.0
16,L,1.8GHz,0,0.002569,136069.0,22531.0,20650.0,0.976688,1250.0
17,B,1.0GHz,2,0.007504,163507.0,74149.0,54931.0,0.992578,3349.0
18,B,3.0GHz,4,0.006462,143268.0,50680.0,40348.0,0.990765,2915.0
19,L,800MHz,8,0.010699,202060.0,52413.0,45891.0,0.990701,5272.0
20,T,1.4GHz,0,0.002683,151098.0,22351.0,20527.0,0.958163,1262.0
21,T,600MHz,0,0.003289,179606.0,22393.0,20544.0,0.957455,1237.0
22,L,1.8GHz,2,0.008247,137659.0,75995.0,52444.0,0.99368,16170.0
23,L,1.0GHz,0,0.002838,160349.0,22541.0,20654.0,0.976693,1227.0
24,L,1.0GHz,4,0.008127,173809.0,50486.0,40222.0,0.990282,7843.0
25,L,1.2GHz,4,0.007782,172765.0,50479.0,40222.0,0.990261,7858.0
26,T,3.0GHz,0,0.002438,125523.0,22339.0,20521.0,0.958163,1305.0
27,B,3.0GHz,2,0.006522,131229.0,74033.0,54834.0,0.992751,3447.0
28,B,1.2GHz,2,0.007267,162228.0,74079.0,54860.0,0.992566,3359.0
29,T,3.0GHz,2,0.00624,132311.0,69393.0,52474.0,0.983635,854.0
30,B,1.8GHz,4,0.006789,147408.0,50677.0,40365.0,0.990737,2869.0
31,L,1.2GHz,8,0.009985,185817.0,52431.0,45905.0,0.990643,5282.0
32,T,2.4GHz,0,0.002473,134437.0,22317.0,20496.0,0.958194,1291.0
33,L,2.0GHz,4,0.007277,151429.0,50447.0,40206.0,0.990299,7871.0
34,T,1.0GHz,0,0.002837,156689.0,22369.0,20542.0,0.957931,1247.0
35,T,2.4GHz,2,0.006345,141264.0,69397.0,52475.0,0.983598,839.0
36,B,1.0GHz,0,0.002854,159023.0,22449.0,20524.0,0.979449,1584.0
37,B,1.2GHz,4,0.00721,178845.0,50702.0,40372.0,0.990575,2825.0
38,B,1.4GHz,2,0.007095,154139.0,74063.0,54847.0,0.992584,3370.0
39,B,2.0GHz,0,0.002557,125149.0,22439.0,20530.0,0.979785,1644.0
40,L,3.0GHz,2,0.007983,117976.0,75973.0,52434.0,0.993747,16196.0
41,L,600MHz,2,0.010301,160494.0,76014.0,52452.0,0.993518,16136.0
42,B,2.0GHz,4,0.006708,157623.0,50707.0,40368.0,0.990719,2876.0
43,T,1.0GHz,8,0.009775,201416.0,51660.0,45774.0,0.980833,619.0
44,B,1.0GHz,4,0.007445,188968.0,50727.0,40370.0,0.990534,2816.0
45,B,800MHz,4,0.007749,194299.0,50746.0,40381.0,0.990416,2831.0
